MyUnknownColumn,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
3185,30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,USA,Asian
6489,50.0,Female,Master's Degree,Senior Product Marketing Manager,18.0,180000.0,UK,Welsh
4772,28.0,Male,Bachelor's Degree,Junior Data Analyst,3.0,52000.0,Canada,Black
1274,24.0,Female,Bachelor's Degree,Back end Developer,1.0,60000.0,UK,White
6276,39.0,Male,PhD,Marketing Manager,10.0,100000.0,China,Chinese
4542,24.0,Male,Bachelor's Degree,Junior Web Developer,1.0,40000.0,Australia,White
6116,24.0,Female,High School,Receptionist,0.0,25000.0,USA,Asian
2024,50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,Australia,White
5232,27.0,Male,Bachelor's Degree,Product Designer,3.0,60000.0,Australia,Australian
1723,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,Australia,Asian
1968,46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Canada,Asian
3355,32.0,Male,Master's Degree,Product Manager,7.0,110000.0,Australia,Australian
2847,42.0,Male,Master's Degree,Full Stack Engineer,19.0,177347.0,UK,Asian
3344,24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,Australia,Australian
4223,34.0,Female,Bachelor's Degree,Human Resources Manager,9.0,99000.0,UK,Asian
5890,31.0,Female,Bachelor's Degree,Marketing Manager,7.0,100000.0,UK,Asian
3783,27.0,Male,Bachelor's Degree,Software Developer,3.0,60000.0,Canada,Asian
1743,35.0,Male,Bachelor's Degree,Back end Developer,8.0,140000.0,Australia,Australian
2744,48.0,Male,PhD,Director of Data Science,18.0,210000.0,Canada,Asian
2924,36.0,Female,Master's Degree,Senior Software Engineer,13.0,140010.0,Australia,White
5900,39.0,Female,Bachelor's Degree,Financial Manager,15.0,200000.0,Australia,White
1270,41.0,Female,Master's Degree,Senior Software Engineer,12.0,160000.0,Canada,Asian
416,27.0,Male,Bachelor's,Data Analyst,2.0,110000.0,Australia,White
3823,26.0,Female,Bachelor's Degree,Junior Software Developer,1.0,35000.0,Australia,Asian
656,25.0,Female,Bachelor's,Data Analyst,2.0,110000.0,UK,White
4176,29.0,Female,Master's Degree,Human Resources Coordinator,3.0,49000.0,Canada,Black
3166,24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,UK,Mixed
1921,30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,UK,Asian
4304,37.0,Female,Master's Degree,Marketing Manager,12.0,125000.0,Canada,White
3899,25.0,Male,High School,Junior Sales Associate,2.0,30000.0,USA,African American
2199,32.0,Male,Master's Degree,Back end Developer,7.0,120000.0,UK,Mixed
591,29.0,Female,Master's,Data Scientist,6.0,180000.0,Australia,Asian
4737,31.0,Male,Bachelor's Degree,Junior Marketing Manager,5.0,70000.0,Australia,Asian
2290,32.0,Male,Master's Degree,Product Manager,7.0,110000.0,Canada,Asian
1861,36.0,Male,Master's Degree,Back end Developer,9.0,150000.0,Australia,Asian
5960,32.0,Male,Bachelor's Degree,Product Manager,7.0,120000.0,UK,Mixed
5952,29.0,Male,Bachelor's Degree,Marketing Analyst,4.0,70000.0,Australia,White
5999,30.0,Female,Bachelor's Degree,Marketing Coordinator,5.0,90000.0,Australia,Asian
703,27.0,Female,Bachelor's,Product Manager,4.0,150000.0,USA,Asian
2757,42.0,Male,Master's Degree,Product Manager,14.0,180000.0,China,White
5422,31.0,Female,Master's Degree,Financial Manager,8.0,120000.0,Australia,Asian
3941,27.0,Female,Master's Degree,Human Resources Coordinator,3.0,50000.0,Canada,Black
679,24.0,Female,Bachelor's,Product Manager,3.0,125000.0,Australia,Australian
4778,32.0,Male,Bachelor's Degree,Junior Marketing Manager,6.0,72000.0,Canada,White
4485,34.0,Male,Bachelor's Degree,Operations Manager,8.0,104000.0,China,Korean
2536,30.0,Female,Master's Degree,Senior Project Engineer,5.0,106278.0,China,Korean
2175,33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,Australia,Australian
3665,39.0,Female,Master's Degree,Marketing Manager,10.0,110000.0,UK,Welsh
5708,27.0,Male,Bachelor's Degree,Software Engineer,3.0,80000.0,UK,Welsh
1793,31.0,Male,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,Australia,Asian
5883,36.0,Female,Bachelor's Degree,Financial Analyst,11.0,150000.0,USA,African American
110,42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,USA,Asian
3919,40.0,Female,Master's Degree,Human Resources Manager,12.0,130000.0,China,White
2853,32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,106218.0,USA,White
6683,51.0,Female,Master's Degree,Content Marketing Manager,19.0,190000.0,UK,White
2022,33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,Canada,Black
4396,31.0,Female,Bachelor's Degree,Software Engineer,5.0,74000.0,Canada,White
1580,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,China,Chinese
4938,25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0,Canada,White
4171,29.0,Female,High School,Junior Sales Associate,1.0,26000.0,Australia,White
3642,31.0,Female,Bachelor's Degree,Human Resources Coordinator,4.0,55000.0,China,White
2883,38.0,Male,Bachelor's Degree,Back end Developer,14.0,136449.0,China,Korean
1674,55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,UK,Asian
3019,36.0,Male,Bachelor's Degree,Front end Developer,12.0,137878.0,UK,Mixed
2093,30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,Australia,Asian
3936,29.0,Female,High School,Junior Sales Associate,1.0,25000.0,Canada,Asian
5097,36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0,Canada,Asian
4873,30.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,57000.0,Canada,Asian
5754,30.0,Female,PhD,Data Scientist,6.0,100000.0,USA,Asian
107,36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,USA,Asian
29,33.0,Male,Master's,Product Designer,6.0,90000.0,China,Korean
3020,30.0,Female,Master's Degree,Senior Project Engineer,4.0,92438.0,USA,Hispanic
1883,36.0,Male,Master's Degree,Back end Developer,9.0,150000.0,China,White
753,33.0,Female,Master's,Product Manager,11.0,198000.0,China,Korean
586,25.0,Female,Bachelor's,Data Analyst,2.0,110000.0,USA,Hispanic
1222,42.0,Male,PhD,Full Stack Engineer,14.0,180000.0,China,White
3767,30.0,Female,Bachelor's Degree,Human Resources Coordinator,4.0,55000.0,Canada,Asian
6649,36.0,Female,PhD,Senior Product Marketing Manager,10.0,100000.0,UK,Welsh
2605,35.0,Male,Bachelor's Degree,Back end Developer,10.0,123386.0,USA,Hispanic
1884,33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,Canada,Asian
550,26.0,Male,Bachelor's,Data Analyst,3.0,130000.0,Canada,White
5182,28.0,Male,Bachelor's Degree,Financial Analyst,4.0,80000.0,China,Korean
1645,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,China,Chinese
6230,32.0,Female,PhD,Data Scientist,9.0,145000.0,UK,Asian
1479,40.0,Male,PhD,Senior Software Engineer,12.0,160000.0,UK,Mixed
2059,30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,USA,Asian
6456,37.0,Male,Master's Degree,Marketing Manager,11.0,110000.0,Australia,Australian
6554,23.0,Male,Bachelor's Degree,Sales Representative,1.0,35000.0,Canada,Black
5784,27.0,Male,Bachelor's Degree,Software Engineer,3.0,80000.0,USA,African American
1664,46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,UK,White
3907,44.0,Male,PhD,Data Scientist,15.0,150000.0,China,White
4839,39.0,Female,PhD,Senior Research Scientist,13.0,145000.0,UK,Mixed
5000,22.0,Female,High School,Sales Associate,0.0,25000.0,USA,Asian
6579,25.0,Female,High School,Sales Executive,1.0,35000.0,Australia,White
5505,25.0,Male,Bachelor's Degree,Software Engineer,1.0,60000.0,Canada,Asian
5958,34.0,Male,PhD,Research Director,11.0,160000.0,Canada,Asian
4094,39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0,China,Chinese
1673,33.0,Male,Bachelor's Degree,Front end Developer,6.0,110000.0,Australia,Asian
1822,30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,Australia,Australian
90,36.0,Male,PhD,Principal Scientist,11.0,120000.0,UK,Mixed
1659,30.0,Male,Master's Degree,Full Stack Engineer,5.0,105000.0,China,Korean
5171,34.0,Female,PhD,Research Director,10.0,150000.0,China,White
5383,30.0,Male,Master's Degree,Financial Analyst,6.0,100000.0,UK,Welsh
1841,45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,China,Chinese
2325,25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,Australia,White
626,33.0,Male,Master's,Product Manager,11.0,198000.0,UK,Mixed
69,49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,Canada,White
891,27.0,Male,Bachelor's,Software Engineer,4.0,140000.0,China,Chinese
3034,23.0,Female,Bachelor's Degree,Senior Project Engineer,0.0,52831.0,USA,Asian
5077,34.0,Male,PhD,Director of Marketing,12.0,170000.0,Canada,Asian
4692,29.0,Female,Bachelor's Degree,Junior Marketing Manager,3.0,55000.0,Australia,Australian
4405,35.0,Female,Master's Degree,Human Resources Manager,8.0,92000.0,Australia,Australian
3318,48.0,Male,PhD,Director of Data Science,18.0,210000.0,China,Chinese
2119,36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,USA,African American
949,29.0,Female,Bachelor's Degree,Software Engineer,4.0,150000.0,USA,Hispanic
879,33.0,Female,Master's,Product Manager,11.0,198000.0,China,White
4187,44.0,Male,PhD,Data Scientist,17.0,168000.0,USA,White
6253,32.0,Male,Bachelor's Degree,Product Manager,7.0,120000.0,Australia,Australian
295,33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,China,Korean
2919,54.0,Other,High School,Senior Software Engineer,29.0,158966.0,Canada,Black
447,25.0,Female,Master's,Data Analyst,1.0,100000.0,UK,Mixed
5902,31.0,Female,PhD,Data Scientist,8.0,140000.0,USA,Hispanic
3938,28.0,Male,Bachelor's Degree,Software Developer,3.0,60000.0,USA,Hispanic
6575,48.0,Female,PhD,Senior Product Marketing Manager,17.0,170000.0,China,Chinese
5231,29.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,65000.0,USA,Hispanic
6189,29.0,Male,Bachelor's Degree,Marketing Analyst,4.0,75000.0,Canada,Asian
5044,21.0,Female,High School,Junior Sales Representative,0.0,25000.0,Australia,White
3576,36.0,Female,Master's Degree,Web Developer,7.0,85000.0,China,Chinese
3824,39.0,Female,Master's Degree,Human Resources Manager,11.0,120000.0,Canada,Asian
4784,36.0,Male,PhD,Senior Research Scientist,11.0,135000.0,Canada,Black
4679,25.0,Male,High School,Junior Sales Associate,1.0,30000.0,Australia,Asian
369,33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,UK,Welsh
3076,52.0,Male,PhD,Software Engineer Manager,26.0,185982.0,Canada,Asian
3577,30.0,Male,High School,Junior HR Coordinator,2.0,33000.0,UK,Mixed
1770,31.0,Male,Bachelor's Degree,Front end Developer,6.0,115000.0,Australia,Australian
6628,37.0,Male,Bachelor's Degree,Sales Director,7.0,90000.0,China,Chinese
2055,46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,China,Korean
6139,33.0,Female,Master's Degree,Product Manager,8.0,135000.0,USA,Hispanic
3436,42.0,Female,Master's Degree,Director of HR,13.0,135000.0,China,Chinese
5318,38.0,Male,Bachelor's Degree,Product Manager,13.0,160000.0,Australia,Australian
4960,27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0,USA,White
2105,34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,USA,Asian
2700,41.0,Female,PhD,Director of Data Science,16.0,200000.0,Australia,Australian
3689,36.0,Female,Master's Degree,Marketing Coordinator,8.0,85000.0,China,Korean
1188,35.0,Female,Bachelor's,Product Manager,12.0,190000.0,USA,Asian
6563,29.0,Female,Bachelor's Degree,Financial Manager,4.0,55000.0,Canada,Black
2047,39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,USA,African American
5013,31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0,USA,African American
2442,31.0,Female,Master's Degree,Full Stack Engineer,6.0,101186.0,China,Korean
5418,31.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,65000.0,Australia,Australian
6555,42.0,Female,Master's Degree,Digital Marketing Manager,14.0,140000.0,China,White
151,36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,Canada,Black
6437,26.0,Male,High School,Sales Manager,2.0,40000.0,Australia,Australian
1035,32.0,Male,Bachelor's,Software Engineer,8.0,180000.0,USA,Asian
1385,27.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0,Australia,Australian
917,29.0,Female,Master's,Data Scientist,6.0,180000.0,Canada,Asian
1307,31.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0,UK,Mixed
5496,26.0,Female,Bachelor's Degree,Social Media Man,7.0,100000.0,USA,African American
2247,36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,China,Chinese
6419,41.0,Male,Bachelor's Degree,Content Marketing Manager,12.0,120000.0,USA,African American
511,31.0,Female,Master's,Data Scientist,9.0,195000.0,UK,Asian
4804,36.0,Male,PhD,Senior Research Scientist,11.0,135000.0,UK,White
6042,30.0,Female,Bachelor's Degree,Marketing Coordinator,5.0,95000.0,China,Korean
5766,34.0,Female,PhD,Research Director,12.0,170000.0,USA,Asian
6404,25.0,Female,High School,Sales Executive,1.0,35000.0,Canada,Asian
4401,30.0,Female,High School,Junior Sales Associate,1.0,25000.0,Canada,Black
750,26.0,Male,Bachelor's,Data Analyst,3.0,130000.0,China,Chinese
3154,26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,USA,African American
3652,45.0,Male,PhD,Data Scientist,18.0,180000.0,China,Chinese
1873,33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,UK,Welsh
1312,32.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0,USA,White
1597,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0,USA,Asian
5106,29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0,Australia,Asian
5691,31.0,Female,PhD,Data Scientist,8.0,140000.0,USA,Hispanic
4310,30.0,Female,High School,Junior Sales Associate,1.0,26000.0,Australia,Asian
2121,43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,USA,African American
3561,25.0,Female,Master's Degree,Junior HR Generalist,1.0,32000.0,Australia,Asian
5165,22.0,Female,High School,Receptionist,0.0,25000.0,UK,White
2406,37.0,Other,Master's Degree,Full Stack Engineer,14.0,161393.0,UK,Asian
473,34.0,Male,Bachelor's,Product Manager,9.0,185000.0,China,Korean
3734,36.0,Female,Master's Degree,Marketing Coordinator,8.0,85000.0,Canada,White
4637,31.0,Male,Bachelor's Degree,Junior Marketing Manager,5.0,70000.0,UK,White
4789,39.0,Female,PhD,Senior Research Scientist,13.0,145000.0,China,Chinese
4372,31.0,Male,Bachelor's Degree,Software Developer,6.0,85000.0,Australia,Asian
6326,39.0,Male,Bachelor's Degree,Sales Director,10.0,100000.0,Australia,Asian
5156,35.0,Male,Bachelor's Degree,Project Manager,10.0,130000.0,UK,Asian
898,32.0,Male,Bachelor's,Software Engineer,8.0,190000.0,China,Korean
5067,29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0,China,White
1842,28.0,Female,Bachelor's Degree,Front end Developer,2.0,65000.0,Australia,Asian
252,45.0,Female,PhD,Senior Product Designer,15.0,150000.0,China,Korean
1211,61.0,Male,PhD,Software Engineer Manager,20.0,200000.0,UK,Welsh
2414,23.0,Male,PhD,Software Engineer Manager,1.0,119836.0,UK,Asian
3491,27.0,Female,High School,Junior HR Generalist,1.0,32000.0,Australia,Australian
3692,42.0,Male,PhD,Data Scientist,13.0,140000.0,China,Chinese
1967,34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,USA,White
4006,30.0,Male,Bachelor's Degree,Software Engineer,4.0,65000.0,USA,Asian
1130,32.0,Male,Bachelor's,Software Engineer,10.0,190000.0,China,Korean
5337,27.0,Female,Bachelor's Degree,Graphic Designer,2.0,50000.0,USA,Hispanic
4255,36.0,Female,Master's Degree,Marketing Manager,11.0,117000.0,USA,White
5257,25.0,Female,High School,Sales Associate,0.0,25000.0,Canada,White
5082,33.0,Male,PhD,Sales Director,10.0,155000.0,China,White
57,43.0,Male,PhD,Senior Engineer,17.0,140000.0,USA,Hispanic
1324,45.0,Male,PhD,Senior Project Engineer,14.0,185000.0,China,Chinese
3971,27.0,Female,Master's Degree,Human Resources Coordinator,3.0,50000.0,USA,White
6391,41.0,Male,Bachelor's Degree,Content Marketing Manager,12.0,120000.0,Canada,Asian
6659,30.0,Female,Bachelor's Degree,Sales Manager,5.0,70000.0,Canada,Asian
2120,27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,China,White
294,45.0,Female,Master's,Senior HR Manager,14.0,140000.0,UK,Welsh
1144,35.0,Female,Bachelor's,Product Manager,12.0,190000.0,UK,Mixed
5074,28.0,Female,PhD,Director of Marketing,6.0,105000.0,Australia,Asian
3337,23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,UK,Asian
4066,28.0,Female,Master's Degree,Human Resources Coordinator,2.0,45000.0,Australia,Australian
1172,31.0,Male,Master's,Data Scientist,9.0,185000.0,China,White
3414,25.0,Female,Bachelor's Degree,Junior Web Developer,1.0,40000.0,Australia,Australian
5373,27.0,Male,Bachelor's Degree,Software Engineer,3.0,85000.0,UK,Asian
4357,31.0,Male,Bachelor's Degree,Software Developer,6.0,85000.0,Canada,Black
3847,41.0,Male,PhD,Data Scientist,13.0,140000.0,Australia,Asian
2936,42.0,Female,Master's Degree,Full Stack Engineer,14.0,163978.0,USA,Hispanic
1088,27.0,Male,Bachelor's,Software Engineer,4.0,160000.0,USA,Asian
2500,43.0,Male,High School,Senior Software Engineer,22.0,165919.0,Australia,Australian
3707,42.0,Male,PhD,Data Scientist,13.0,140000.0,Australia,Australian
1174,32.0,Male,Bachelor's,Software Engineer,10.0,190000.0,Canada,Black
5711,30.0,Female,Bachelor's Degree,Marketing Coordinator,5.0,90000.0,Canada,Black
2229,32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,China,Chinese
6571,32.0,Female,Bachelor's Degree,Director of Marketing,8.0,80000.0,Australia,White
3398,39.0,Female,PhD,Director of HR,13.0,130000.0,USA,Asian
3611,33.0,Male,Bachelor's Degree,Web Developer,5.0,70000.0,Australia,Asian
4234,40.0,Female,Master's Degree,Marketing Coordinator,12.0,122000.0,Canada,Black
6590,44.0,Male,Bachelor's Degree,Content Marketing Manager,15.0,150000.0,Canada,Asian
2965,54.0,Female,PhD,Software Engineer Manager,32.0,191510.0,UK,Welsh
3570,26.0,Female,Bachelor's Degree,Junior Web Developer,2.0,45000.0,UK,White
2800,54.0,Other,High School,Senior Software Engineer,29.0,158966.0,Canada,Black
615,33.0,Female,Master's,Product Manager,11.0,198000.0,Canada,Black
2241,45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,Australia,Asian
2630,27.0,Female,Master's Degree,Front end Developer,4.0,75969.0,Australia,White
2377,43.0,Male,Master's Degree,Senior Software Engineer,21.0,187081.0,Australia,Asian
3360,34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,China,Korean
1432,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0,UK,Asian
3683,25.0,Female,Bachelor's Degree,Junior Software Developer,1.0,35000.0,Australia,White
6035,27.0,Male,Bachelor's Degree,Product Designer,2.0,55000.0,Australia,Asian
507,29.0,Female,Master's,Data Scientist,6.0,180000.0,UK,Asian
417,30.0,Female,PhD,Data Scientist,5.0,180000.0,Canada,Black
3538,26.0,Female,High School,Junior HR Generalist,2.0,35000.0,UK,Mixed
274,30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Australia,Australian
3664,28.0,Male,High School,Junior Sales Associate,2.0,35000.0,China,Chinese
2666,31.0,Male,Master's Degree,Data Scientist,7.0,130000.0,Australia,White
2449,47.0,Male,Master's Degree,Senior Project Engineer,25.0,178859.0,Canada,White
2524,41.0,Female,Bachelor's Degree,Senior Project Engineer,20.0,151315.0,USA,White
5598,31.0,Female,PhD,Data Scientist,8.0,140000.0,China,Korean
5888,35.0,Male,PhD,Research Scientist,11.0,150000.0,UK,Welsh
106,30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,UK,White
1346,44.0,Male,PhD,Senior Project Engineer,12.0,170000.0,Canada,Black
4453,48.0,Male,PhD,Data Scientist,22.0,219000.0,UK,Mixed
2140,48.0,Male,PhD,Software Engineer Manager,18.0,200000.0,UK,White
2352,26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,UK,Mixed
2956,36.0,Male,Master's Degree,Full Stack Engineer,13.0,147326.0,China,White
954,29.0,Female,Master's Degree,Data Scientist,4.0,182000.0,Australia,Australian
1775,38.0,Male,Bachelor's Degree,Software Engineer Manager,11.0,155000.0,Canada,Asian
2791,46.0,Male,Master's Degree,Senior Software Engineer,20.0,174938.0,USA,Hispanic
4004,26.0,Male,High School,Junior Sales Associate,2.0,30000.0,Canada,White
1506,27.0,Male,Bachelor's Degree,Front end Developer,3.0,80000.0,Canada,White
2511,42.0,Female,Bachelor's Degree,Senior Software Engineer,18.0,148446.0,Canada,Asian
6157,38.0,Male,Master's Degree,Marketing Director,14.0,195000.0,UK,White
2082,27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,USA,African American
5181,39.0,Female,Master's Degree,Marketing Manager,12.0,150000.0,China,Chinese
2931,29.0,Male,Bachelor's Degree,Senior Project Engineer,6.0,88552.0,Canada,Black
1026,33.0,Female,Master's,Product Manager,11.0,195000.0,Canada,Black
2870,38.0,Male,Bachelor's Degree,Front end Developer,11.0,136062.0,USA,White
3096,48.0,Female,Bachelor's Degree,Senior Project Engineer,21.0,163209.0,Australia,Australian
1730,33.0,Male,Bachelor's Degree,Front end Developer,6.0,110000.0,USA,Asian
418,29.0,Male,Bachelor's,Software Engineer,4.0,140000.0,Australia,Asian
6034,40.0,Female,Bachelor's Degree,Financial Manager,16.0,215000.0,China,White
2129,33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,Australia,White
2031,27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,China,Korean
566,25.0,Female,Bachelor's,Data Analyst,2.0,110000.0,Australia,White
480,29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,China,Chinese
3776,29.0,Male,Bachelor's Degree,Software Engineer,4.0,65000.0,Canada,White
4884,21.0,Female,High School,Junior Sales Representative,0.0,25000.0,China,White
1205,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0,UK,Mixed
1226,26.0,Female,Master's Degree,Back end Developer,2.0,70000.0,Canada,White
142,33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,USA,Hispanic
1956,42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,USA,Asian
3544,23.0,Female,Bachelor's Degree,Junior Web Developer,1.0,40000.0,USA,Asian
1866,30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,Australia,Asian
6063,27.0,Male,Bachelor's Degree,Product Designer,2.0,55000.0,UK,White
4681,27.0,Male,Bachelor's Degree,Junior Data Analyst,2.0,50000.0,USA,Hispanic
4888,28.0,Female,PhD,Director of Marketing,6.0,105000.0,UK,Mixed
6125,25.0,Male,Bachelor's Degree,Product Manager,1.0,60000.0,Canada,Asian
607,34.0,Female,Master's,Product Manager,12.0,196000.0,UK,Asian
1196,32.0,Male,Bachelor's,Software Engineer,10.0,190000.0,UK,Mixed
1696,44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,Canada,Black
1862,33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,UK,Asian
3944,26.0,Male,High School,Junior Sales Associate,2.0,30000.0,Australia,Australian
3320,23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,Canada,Black
